"subjects","E","S","R","rt"
"as1t","accuracy","right","right",0.5573
"as1t","neutral","right","right",0.4584
"as1t","neutral","left","left",0.4639
"as1t","speed","right","right",0.7772
"as1t","neutral","right","right",0.4252
"as1t","speed","right","right",0.3848
"as1t","accuracy","right","right",0.4019
"as1t","neutral","left","left",0.5508
"as1t","speed","left","left",0.3627
"as1t","accuracy","right","right",0.4297
"as1t","accuracy","left","left",0.4747
"as1t","accuracy","right","right",0.4237
"as1t","neutral","right","left",0.4207
"as1t","speed","left","right",0.3172
"as1t","neutral","right","right",0.4012
"as1t","neutral","left","left",0.5346
"as1t","neutral","right","right",0.4813
"as1t","accuracy","left","left",0.5952
"as1t","accuracy","left","right",0.3472
"as1t","neutral","right","right",0.4643
"as1t","speed","right","right",0.4814
"as1t","neutral","left","left",0.401
"as1t","neutral","right","right",0.3694
"as1t","accuracy","left","left",0.3772
"as1t","speed","left","left",0.5742
"as1t","neutral","right","right",0.3782
"as1t","neutral","right","left",0.4619
"as1t","neutral","right","right",0.4138
"as1t","accuracy","left","left",0.4528
"as1t","accuracy","right","right",0.3655
"as1t","accuracy","right","right",0.3399
"as1t","neutral","right","right",0.479
"as1t","neutral","right","right",0.393
"as1t","accuracy","right","right",0.3841
"as1t","neutral","left","left",0.6002
"as1t","speed","left","left",0.4669
"as1t","speed","right","right",0.4466
"as1t","neutral","right","right",0.456
"as1t","accuracy","left","left",0.4601
"as1t","accuracy","left","left",0.3923
"as1t","speed","right","right",0.4067
"as1t","accuracy","left","left",0.6388
"as1t","neutral","right","right",0.3722
"as1t","neutral","right","left",0.5878
"as1t","speed","left","right",0.4227
"as1t","speed","right","right",0.3978
"as1t","accuracy","left","right",0.4178
"as1t","accuracy","left","right",0.7814
"as1t","speed","left","right",0.4248
"as1t","neutral","right","left",0.4782
"as1t","neutral","left","left",0.4422
"as1t","speed","left","left",0.5291
"as1t","speed","right","left",0.2508
"as1t","accuracy","right","left",0.3542
"as1t","speed","left","right",0.2742
"as1t","accuracy","left","right",0.4646
"as1t","accuracy","right","right",0.4665
"as1t","neutral","left","left",0.4027
"as1t","speed","right","right",0.3085
"as1t","accuracy","left","left",0.4583
"as1t","neutral","left","left",0.6759
"as1t","speed","right","right",0.5509
"as1t","neutral","left","left",0.4365
"as1t","neutral","left","right",0.5855
"as1t","speed","right","right",0.552
"as1t","speed","right","right",0.4266
"as1t","accuracy","left","left",0.4857
"as1t","accuracy","left","left",0.6528
"as1t","neutral","right","right",0.48
"as1t","neutral","right","right",0.5891
"as1t","speed","right","right",0.3986
"as1t","accuracy","right","right",0.4201
"as1t","neutral","left","left",0.7018
"as1t","accuracy","left","right",0.4592
"as1t","speed","right","right",0.5463
"as1t","speed","left","left",0.4831
"as1t","neutral","right","right",0.391
"as1t","speed","left","left",0.4486
"as1t","neutral","left","right",0.5876
"as1t","speed","left","left",0.4442
"as1t","neutral","left","left",0.6047
"as1t","neutral","right","left",0.4358
"as1t","speed","right","right",0.4746
"as1t","accuracy","left","right",0.3632
"as1t","accuracy","left","right",0.5256
"as1t","neutral","right","right",0.402
"as1t","speed","left","left",0.6796
"as1t","speed","left","left",0.7914
"as1t","speed","right","right",0.4348
"as1t","neutral","left","right",0.6568
"as1t","neutral","left","right",0.6033
"as1t","accuracy","right","right",0.5513
"as1t","neutral","right","left",0.5813
"as1t","accuracy","right","right",0.525
"as1t","speed","right","right",0.2798
"as1t","speed","left","left",0.2523
"as1t","speed","right","left",0.3321
"as1t","accuracy","right","right",0.4299
"as1t","neutral","left","left",0.5173
"as1t","speed","left","right",0.6356
"as1t","accuracy","right","right",0.4517
"as1t","neutral","left","left",0.675
"as1t","neutral","right","right",0.4096
"as1t","accuracy","right","right",0.4336
"as1t","neutral","left","left",0.4569
"as1t","accuracy","left","left",0.409
"as1t","neutral","right","right",0.492
"as1t","accuracy","left","left",0.6233
"as1t","accuracy","right","right",0.4498
"as1t","accuracy","right","right",0.498
"as1t","accuracy","right","right",0.4112
"as1t","speed","right","right",0.2876
"as1t","speed","right","left",0.3355
"as1t","speed","right","right",0.3671
"as1t","accuracy","right","right",0.5044
"as1t","accuracy","right","right",0.4332
"as1t","neutral","left","left",0.5173
"as1t","speed","left","left",0.4167
"as1t","speed","left","right",0.6077
"as1t","speed","left","left",0.5463
"as1t","speed","left","left",0.6583
"as1t","neutral","right","right",0.5603
"as1t","speed","left","left",0.5375
"as1t","speed","left","left",0.4121
"as1t","accuracy","left","left",0.4699
"as1t","speed","left","left",0.4044
"as1t","accuracy","right","right",0.4536
"as1t","accuracy","right","left",0.6896
"as1t","neutral","right","right",0.3712
"as1t","accuracy","right","right",0.3519
"as1t","neutral","left","left",0.4314
"as1t","accuracy","right","right",0.4011
"as1t","neutral","right","right",0.4584
"as1t","accuracy","right","right",0.3586
"as1t","speed","right","right",0.4882
"as1t","neutral","left","right",0.4748
"as1t","speed","left","left",0.5834
"as1t","accuracy","right","right",0.3367
"as1t","neutral","right","left",0.4662
"as1t","accuracy","left","left",0.5583
"as1t","neutral","right","right",0.382
"as1t","accuracy","left","left",0.4591
"as1t","accuracy","right","right",0.4927
"as1t","speed","left","left",0.4766
"as1t","accuracy","right","right",0.4957
"as1t","accuracy","right","left",0.5469
"as1t","accuracy","left","left",0.4361
"as1t","speed","left","left",0.382
"as1t","speed","left","right",0.4984
"as1t","neutral","left","left",0.437
"as1t","accuracy","right","right",0.4367
"as1t","neutral","right","left",0.3845
"as1t","neutral","left","left",0.6772
"as1t","neutral","right","right",0.4187
"as1t","accuracy","left","right",0.4819
"as1t","speed","right","right",0.3619
"as1t","accuracy","right","right",0.5692
"as1t","speed","left","left",0.4684
"as1t","speed","left","left",0.3691
"as1t","accuracy","right","right",0.4472
"as1t","neutral","right","left",0.4135
"as1t","speed","left","left",0.3386
"as1t","neutral","left","left",0.3522
"as1t","accuracy","right","right",0.3882
"as1t","accuracy","right","left",0.4852
"as1t","accuracy","right","right",0.3567
"as1t","speed","left","left",0.4128
"as1t","accuracy","right","right",0.3609
"as1t","neutral","left","left",0.4359
"as1t","speed","right","right",0.4232
"as1t","speed","left","left",0.5396
"as1t","accuracy","left","left",0.4162
"as1t","accuracy","left","left",0.422
"as1t","neutral","left","right",0.4698
"as1t","neutral","left","left",0.4827
"as1t","neutral","left","right",0.4768
"as1t","neutral","right","right",0.585
"as1t","neutral","left","left",0.4128
"as1t","neutral","left","right",0.4402
"as1t","speed","right","right",0.7228
"as1t","accuracy","left","right",0.6428
"as1t","neutral","left","left",0.4409
"as1t","accuracy","right","right",0.4642
"as1t","accuracy","right","left",0.4315
"as1t","accuracy","left","right",0.6628
"as1t","neutral","left","right",0.7461
"as1t","speed","left","left",0.5233
"as1t","speed","right","right",0.5865
"as1t","accuracy","right","right",0.5548
"as1t","neutral","left","left",0.4716
"as1t","accuracy","left","left",0.4277
"as1t","neutral","right","right",0.4423
"as1t","speed","left","left",0.4188
"as1t","neutral","left","left",0.4141
"as1t","accuracy","right","left",0.4767
"as1t","accuracy","left","left",0.7544
"as1t","speed","left","left",0.2666
"as1t","accuracy","right","right",0.5793
"as1t","accuracy","left","left",0.5217
"as1t","accuracy","right","right",0.4692
"as1t","speed","right","right",0.3557
"as1t","neutral","left","left",0.5117
"as1t","neutral","right","right",0.4572
"as1t","neutral","right","right",0.5874
"as1t","neutral","left","left",0.68
"as1t","speed","right","left",0.5287
"as1t","neutral","right","left",0.6025
"as1t","speed","left","right",0.5145
"as1t","accuracy","left","left",0.4178
"as1t","neutral","left","left",0.4074
"as1t","accuracy","right","right",0.5551
"as1t","speed","left","left",0.5009
"as1t","speed","right","right",0.6435
"as1t","neutral","right","left",0.8565
"as1t","neutral","left","left",0.6585
"as1t","accuracy","right","right",0.716
"as1t","neutral","right","right",0.5658
"as1t","accuracy","right","right",0.4019
"as1t","neutral","left","left",0.479
"as1t","neutral","right","right",0.3955
"as1t","speed","left","left",0.6886
"as1t","accuracy","right","right",0.4796
"as1t","accuracy","left","left",0.4081
"as1t","neutral","left","left",0.6296
"as1t","speed","right","right",0.4484
"as1t","speed","right","right",0.3245
"as1t","speed","left","right",0.4453
"as1t","accuracy","right","right",0.4416
"as1t","accuracy","right","right",0.4569
"as1t","speed","left","left",0.3835
"as1t","speed","right","right",0.4268
"as1t","neutral","right","right",0.6632
"as1t","neutral","right","left",0.5473
"as1t","neutral","right","right",0.4068
"as1t","accuracy","left","right",0.4656
"as1t","accuracy","right","right",0.4445
"as1t","neutral","left","left",0.7392
"as1t","accuracy","left","left",0.7759
"as1t","accuracy","right","right",0.4904
"as1t","speed","left","left",0.4984
"as1t","accuracy","right","right",0.6866
"as1t","accuracy","right","right",0.5258
"as1t","accuracy","left","left",0.4929
"as1t","accuracy","left","right",0.4555
"as1t","speed","right","left",0.6289
"as1t","neutral","left","left",0.4632
"as1t","neutral","right","right",0.5156
"as1t","accuracy","right","right",0.7106
"as1t","speed","right","right",0.499
"as1t","speed","left","left",0.5708
"as1t","accuracy","right","right",0.474
"as1t","accuracy","right","right",0.4638
"as1t","speed","left","left",0.4746
"as1t","speed","left","left",0.4371
"as1t","neutral","right","right",0.5902
"as1t","speed","left","left",0.4809
"as1t","speed","right","right",0.5002
"as1t","speed","right","right",0.5775
"as1t","neutral","left","right",0.3824
"as1t","accuracy","left","left",0.4268
"as1t","speed","left","right",0.4643
"as1t","speed","left","left",0.4541
"as1t","neutral","right","left",0.485
"as1t","neutral","right","right",0.5349
"as1t","speed","right","right",0.3091
"as1t","speed","right","left",0.301
"as1t","neutral","right","right",0.3443
"as1t","accuracy","right","right",0.3693
"as1t","accuracy","right","right",0.4743
"as1t","accuracy","right","right",0.3053
"as1t","neutral","right","left",0.3467
"as1t","neutral","right","right",0.3113
"as1t","speed","left","left",0.4046
"as1t","speed","left","right",0.4999
"as1t","accuracy","left","left",0.5724
"as1t","neutral","left","right",0.3045
"as1t","neutral","right","right",0.5084
"as1t","accuracy","left","right",0.5888
"as1t","speed","right","right",0.4841
"as1t","accuracy","right","right",0.3697
"as1t","accuracy","right","right",0.9912
"as1t","accuracy","left","left",0.522
"as1t","neutral","right","right",0.472
"as1t","neutral","left","left",0.3791
"as1t","neutral","left","left",0.5724
"as1t","neutral","right","right",0.5767
"as1t","neutral","right","right",0.4022
"as1t","neutral","left","left",0.6029
"as1t","accuracy","left","right",0.5423
"as1t","speed","right","right",0.4947
"as1t","accuracy","left","left",0.5496
"as1t","neutral","right","right",0.5482
"as1t","accuracy","right","right",0.4215
"as1t","accuracy","left","left",0.4514
"as1t","neutral","right","right",0.3769
"as1t","speed","left","right",0.4593
"as1t","neutral","right","right",0.4322
"as1t","accuracy","left","left",0.5575
"as1t","accuracy","right","right",0.5047
"as1t","accuracy","left","left",0.572
"as1t","neutral","left","right",0.5522
"as1t","accuracy","left","right",0.4058
"as1t","neutral","left","left",0.4881
"as1t","neutral","right","right",0.3836
"as1t","speed","right","right",0.4176
"as1t","neutral","left","right",0.5459
"as1t","accuracy","right","right",0.4428
"as1t","accuracy","right","right",0.4054
"as1t","speed","left","left",0.4755
"as1t","speed","left","left",0.4716
"as1t","neutral","right","right",0.6224
"as1t","speed","right","right",0.451
"as1t","neutral","left","left",0.5376
"as1t","speed","right","right",0.5971
"as1t","neutral","left","left",0.7023
"as1t","neutral","right","left",0.4679
"as1t","neutral","left","right",0.6829
"as1t","accuracy","left","left",0.6998
"as1t","neutral","left","left",0.5494
"as1t","neutral","left","left",0.4187
"as1t","accuracy","left","right",0.4227
"as1t","neutral","right","right",0.5228
"as1t","neutral","right","right",0.5912
"as1t","neutral","right","right",0.4216
"as1t","accuracy","right","right",0.5025
"as1t","accuracy","right","right",0.4498
"as1t","speed","left","left",0.5198
"as1t","accuracy","left","left",0.4057
"as1t","speed","right","right",0.4566
"as1t","neutral","right","left",0.6181
"as1t","neutral","left","right",0.4917
"as1t","accuracy","right","right",0.5861
"as1t","neutral","right","right",0.8328
"as1t","speed","left","left",0.6707
"as1t","speed","left","left",0.5711
"as1t","neutral","right","right",0.4784
"as1t","neutral","left","left",0.7311
"as1t","accuracy","right","right",0.5818
"as1t","speed","left","left",0.6683
"as1t","accuracy","left","left",0.4194
"as1t","accuracy","left","left",0.7011
"as1t","accuracy","right","right",0.5871
"as1t","neutral","right","right",0.5701
"as1t","neutral","right","left",0.3587
"as1t","speed","right","right",0.3526
"as1t","speed","right","right",0.2969
"as1t","accuracy","right","right",0.3871
"as1t","speed","left","right",0.3434
"as1t","neutral","left","right",0.5736
"as1t","accuracy","right","right",0.3981
"as1t","accuracy","right","right",0.3372
"as1t","accuracy","right","right",0.535
"as1t","speed","left","left",0.4565
"as1t","neutral","left","left",0.3762
"as1t","neutral","right","left",0.388
"as1t","accuracy","left","right",0.4163
"as1t","neutral","right","left",0.6115
"as1t","speed","right","right",0.4045
"as1t","neutral","right","right",0.516
"as1t","accuracy","right","right",0.6016
"as1t","neutral","left","left",0.4659
"as1t","speed","right","right",0.4315
"as1t","neutral","left","left",1.1555
"as1t","accuracy","right","right",0.3953
"as1t","neutral","left","right",0.4535
"as1t","accuracy","left","left",0.644
"as1t","speed","left","left",0.4852
"as1t","neutral","right","right",0.3381
"as1t","accuracy","right","left",0.4528
"as1t","neutral","right","right",0.5129
"as1t","speed","right","right",0.581
"as1t","accuracy","left","left",0.4424
"as1t","neutral","left","left",0.5013
"as1t","speed","left","left",0.3494
"as1t","speed","left","left",0.3663
"as1t","accuracy","left","left",0.6872
"as1t","speed","right","right",0.3457
"as1t","speed","left","right",0.3136
"as1t","speed","right","right",0.294
"as1t","neutral","right","right",0.2633
"as1t","accuracy","right","right",0.2793
"as1t","neutral","left","right",0.3105
"as1t","neutral","left","left",0.3158
"as1t","accuracy","right","left",0.3589
"as1t","speed","right","right",0.2796
"as1t","speed","right","right",0.2578
"as1t","neutral","left","right",0.3007
"as1t","neutral","left","left",0.5909
"as1t","neutral","left","left",0.4864
"as1t","accuracy","left","left",0.4821
"as1t","neutral","left","left",0.4931
"as1t","accuracy","right","right",0.383
"as1t","speed","left","right",0.3154
"as1t","speed","left","left",0.3949
"as1t","neutral","right","right",0.4983
"as1t","accuracy","left","left",0.6683
"as1t","speed","right","right",0.6242
"as1t","speed","left","right",0.2692
"as1t","accuracy","right","right",0.3091
"as1t","accuracy","right","left",0.449
"as1t","neutral","left","right",0.3353
"as1t","accuracy","left","left",0.466
"as1t","accuracy","right","right",0.4097
"as1t","neutral","right","left",0.3959
"as1t","accuracy","right","right",0.4376
"as1t","speed","right","left",0.4254
"as1t","neutral","left","right",0.4713
"as1t","neutral","left","left",0.5533
"as1t","accuracy","left","left",0.5079
"as1t","speed","right","right",0.4729
"as1t","speed","right","left",0.5634
"as1t","accuracy","right","right",0.373
"as1t","accuracy","left","left",0.5239
"as1t","neutral","left","right",0.3659
"as1t","speed","right","right",0.4424
"as1t","accuracy","right","right",0.3462
"as1t","neutral","left","left",0.4674
"as1t","neutral","left","left",0.404
"as1t","speed","right","right",0.4814
"as1t","neutral","right","right",0.3433
"as1t","neutral","left","right",0.369
"as1t","accuracy","left","left",0.4215
"as1t","neutral","left","right",0.4745
"as1t","accuracy","right","left",0.4393
"as1t","accuracy","right","right",0.3641
"as1t","accuracy","left","left",0.5782
"as1t","neutral","right","right",0.5016
"as1t","accuracy","right","right",0.4742
"as1t","accuracy","left","left",0.7236
"as1t","accuracy","left","left",0.4133
"as1t","neutral","right","right",0.6011
"as1t","neutral","right","left",0.4981
"as1t","speed","left","left",0.6303
"as1t","accuracy","left","left",0.45
"as1t","accuracy","left","right",0.3239
"as1t","speed","right","left",0.7392
"as1t","accuracy","right","right",0.3461
"as1t","neutral","left","left",0.6793
"as1t","neutral","right","right",0.4375
"as1t","accuracy","left","right",0.4319
"as1t","speed","right","left",0.3065
"as1t","neutral","right","left",0.433
"as1t","neutral","right","right",0.4324
"as1t","neutral","right","right",0.4719
"as1t","neutral","left","left",0.4404
"as1t","accuracy","left","left",0.6317
"as1t","neutral","right","right",0.3505
"as1t","accuracy","right","right",0.4133
"as1t","neutral","left","left",0.4387
"as1t","speed","left","left",0.4832
"as1t","accuracy","left","left",0.4816
"as1t","speed","right","right",0.4933
"as1t","accuracy","right","left",0.6091
"as1t","accuracy","right","right",0.4465
"as1t","speed","left","right",0.3335
"as1t","speed","right","left",0.5856
"as1t","speed","right","right",0.5166
"as1t","speed","left","left",0.5371
"as1t","speed","right","right",0.4332
"as1t","neutral","left","left",0.6427
"as1t","neutral","right","right",0.4395
"as1t","accuracy","right","right",0.4116
"as1t","speed","right","right",0.4436
"as1t","accuracy","left","left",0.3622
"as1t","neutral","left","left",0.3952
"as1t","speed","right","right",0.3421
"as1t","accuracy","right","left",0.4238
"as1t","speed","left","left",0.4332
"as1t","accuracy","left","left",0.5474
"as1t","speed","left","right",0.2985
"as1t","accuracy","left","left",0.529
"as1t","neutral","left","left",0.5264
"as1t","speed","right","right",0.3902
"as1t","neutral","right","right",0.5512
"as1t","speed","left","left",0.4517
"as1t","neutral","left","right",0.4979
"as1t","neutral","left","left",0.6357
"as1t","accuracy","left","left",0.4499
"as1t","neutral","right","right",0.4675
"as1t","accuracy","left","left",0.4413
"as1t","neutral","right","right",0.3713
"as1t","neutral","left","left",0.4428
"as1t","neutral","right","right",0.4675
"as1t","accuracy","left","right",0.415
"as1t","accuracy","left","left",0.4393
"as1t","speed","left","left",0.5997
"as1t","speed","right","right",0.5253
"as1t","speed","right","right",0.4903
"as1t","neutral","right","right",0.3937
"as1t","accuracy","left","right",0.4023
"as1t","neutral","left","left",0.4308
"as1t","speed","left","right",0.2614
"as1t","neutral","right","right",0.3829
"as1t","neutral","left","right",0.4673
"as1t","accuracy","right","right",0.4981
"as1t","accuracy","left","left",0.318
"as1t","speed","right","left",0.31
"as1t","accuracy","left","right",0.2761
"as1t","accuracy","right","right",0.4339
"as1t","speed","right","right",0.4555
"as1t","accuracy","left","left",0.4691
"as1t","neutral","left","right",0.4126
"as1t","accuracy","right","right",0.6631
"as1t","accuracy","right","right",0.4294
"as1t","accuracy","right","right",0.4148
"as1t","neutral","right","right",0.4885
"as1t","speed","left","right",0.4429
"as1t","neutral","right","right",0.3264
"as1t","neutral","right","right",0.4103
"as1t","neutral","right","right",0.4214
"as1t","accuracy","right","right",0.3505
"as1t","speed","left","right",0.4707
"as1t","neutral","right","left",0.4721
"as1t","accuracy","right","right",0.5933
"as1t","neutral","right","right",0.4593
"as1t","speed","right","right",0.5477
"as1t","neutral","left","right",0.3336
"as1t","speed","right","right",0.5216
"as1t","accuracy","left","left",0.4536
"as1t","neutral","left","left",0.7077
"as1t","speed","right","right",0.5944
"as1t","accuracy","left","left",0.6098
"as1t","neutral","left","right",0.4589
"as1t","neutral","left","left",0.4856
"as1t","neutral","left","left",0.4119
"as1t","neutral","right","left",0.4938
"as1t","neutral","right","right",0.4777
"as1t","speed","left","right",0.3548
"as1t","accuracy","left","left",0.4324
"as1t","neutral","right","right",0.4175
"as1t","speed","right","right",0.4766
"as1t","speed","left","right",0.4652
"as1t","accuracy","right","left",0.3244
"as1t","speed","left","right",0.4605
"as1t","accuracy","left","left",0.4801
"as1t","accuracy","left","left",0.4968
"as1t","neutral","right","right",0.4978
"as1t","accuracy","right","right",0.3863
"as1t","speed","right","right",0.4643
"as1t","accuracy","left","right",0.4068
"as1t","speed","right","left",0.598
"as1t","speed","left","right",0.4342
"as1t","neutral","left","left",0.359
"as1t","accuracy","left","left",0.4476
"as1t","neutral","left","right",0.441
"as1t","speed","left","left",0.375
"as1t","speed","right","right",0.2923
"as1t","speed","right","left",0.4312
"as1t","neutral","right","right",0.294
"as1t","speed","right","right",0.4659
"as1t","speed","right","right",0.3589
"as1t","accuracy","left","right",0.4166
"as1t","accuracy","right","left",0.7456
"as1t","accuracy","right","right",0.3937
"as1t","speed","right","left",0.6439
"as1t","accuracy","left","right",0.4445
"as1t","accuracy","left","left",0.4728
"as1t","speed","left","left",0.4326
"as1t","speed","left","right",0.329
"as1t","neutral","right","right",0.4901
"as1t","speed","left","left",0.6269
"as1t","accuracy","left","left",0.7798
"as1t","accuracy","right","right",0.5139
"as1t","speed","right","right",0.5085
"as1t","neutral","left","right",0.4865
"as1t","speed","right","right",0.4748
"as1t","accuracy","left","right",0.4968
"as1t","accuracy","left","left",0.5038
"as1t","speed","left","left",0.3446
"as1t","accuracy","left","right",0.6189
"as1t","neutral","left","left",0.4534
"as1t","neutral","left","right",0.47
"as1t","speed","right","right",0.7471
"as1t","neutral","right","right",0.6604
"as1t","neutral","left","left",0.2771
"as1t","speed","right","right",0.3307
"as1t","speed","left","right",0.3643
"as1t","neutral","left","right",0.3445
"as1t","speed","left","right",0.5619
"as1t","accuracy","right","right",0.4711
"as1t","neutral","left","left",0.4035
"as1t","neutral","left","left",0.5441
"as1t","accuracy","left","left",0.5151
"as1t","accuracy","right","right",0.7922
"as1t","neutral","left","left",0.445
"as1t","neutral","left","right",0.5747
"as1t","accuracy","left","left",0.4916
"as1t","speed","right","right",0.4083
"as1t","neutral","left","left",0.4026
"as1t","speed","right","right",0.4343
"as1t","speed","right","right",0.4974
"as1t","neutral","left","left",0.4934
"as1t","accuracy","left","right",0.4699
"as1t","speed","left","right",0.5271
"as1t","neutral","left","left",0.5407
"as1t","accuracy","right","right",0.6062
"as1t","speed","left","left",0.5616
"as1t","accuracy","right","right",0.4861
"as1t","speed","right","right",0.3018
"as1t","accuracy","right","left",0.5459
"as1t","accuracy","left","right",0.322
"as1t","accuracy","right","right",0.3241
"as1t","speed","left","left",0.4758
"as1t","speed","left","left",0.6005
"as1t","neutral","left","left",0.7259
"as1t","neutral","left","left",0.628
"as1t","accuracy","right","right",0.3681
"as1t","speed","left","right",0.5125
"as1t","accuracy","left","right",0.5574
"as1t","speed","left","right",0.3383
"as1t","speed","right","left",0.3469
"as1t","neutral","right","right",0.5374
"as1t","accuracy","left","left",0.45
"as1t","neutral","right","right",0.4167
"as1t","speed","right","right",0.5426
"as1t","accuracy","left","left",0.5943
"as1t","speed","right","right",0.4327
"as1t","speed","right","right",0.3649
"as1t","neutral","right","right",0.4039
"as1t","neutral","right","right",0.5624
"as1t","accuracy","right","right",0.5103
"as1t","speed","left","left",0.7979
"as1t","accuracy","left","left",0.4657
"as1t","neutral","left","left",0.5042
"as1t","accuracy","right","right",0.6355
"as1t","accuracy","right","right",0.5223
"as1t","accuracy","left","left",0.828
"as1t","neutral","left","left",0.5695
"as1t","neutral","left","left",0.5856
"as1t","accuracy","left","left",0.7599
"as1t","neutral","right","right",0.6885
"as1t","speed","left","left",0.5495
"as1t","speed","right","right",0.6027
"as1t","speed","left","left",0.4856
"as1t","accuracy","left","left",0.464
"as1t","speed","left","left",0.4544
"as1t","accuracy","right","left",0.4741
"as1t","accuracy","left","left",0.6497
"as1t","neutral","left","right",0.5546
"as1t","neutral","left","left",0.5257
"as1t","neutral","left","right",0.3688
"as1t","neutral","left","left",0.4666
"as1t","accuracy","right","right",0.5736
"as1t","accuracy","left","left",0.4697
"as1t","accuracy","right","right",0.5503
"as1t","neutral","left","left",0.4341
"as1t","accuracy","right","right",0.5183
"as1t","accuracy","right","right",0.4844
"as1t","neutral","left","left",0.4545
"as1t","neutral","left","left",0.4132
"as1t","speed","left","left",0.551
"as1t","accuracy","right","right",0.5294
"as1t","speed","left","left",0.3933
"as1t","speed","right","right",0.4128
"as1t","accuracy","left","left",0.6753
"as1t","speed","right","left",0.376
"as1t","neutral","right","right",0.4447
"as1t","neutral","right","left",0.3428
"as1t","accuracy","left","left",0.6472
"as1t","accuracy","right","right",0.4005
"as1t","speed","left","left",0.3786
"as1t","speed","right","right",0.3038
"as1t","accuracy","right","left",0.446
"as1t","speed","left","left",0.3256
"as1t","neutral","right","right",0.4634
"as1t","neutral","right","left",0.4357
"as1t","accuracy","right","right",0.4357
"as1t","accuracy","right","right",0.4166
"as1t","accuracy","left","left",0.5086
"as1t","neutral","left","left",0.513
"as1t","neutral","left","left",0.4108
"as1t","speed","left","left",0.5413
"as1t","speed","left","right",0.478
"as1t","accuracy","left","left",0.6293
